state,city,name,type,distance from airport,distance from bus stand,distance from railway station,rating,no of rating,best month to visit,famous activities,prefer for friends,prefer for couple,prefer for family with children,prefer for family without children,famous activities with rating,image
Tamil Nadu,Chennai,Chennai International Airport,Airport,21,39,41,4.2,6000,November/December/January,Transportation/Aviation/Travel,TRUE,FALSE,TRUE,TRUE,"{'Transportation': 4.4, 'Aviation': 4.1, 'Travel': 4.2}",Chennai_International_Airport_Chennai_Tamil_Nadu1744835828952.webp
Tamil Nadu,Chennai,Koyambedu Bus Terminus,Bus Station,22,40,42,4,5000,November/December/January,Transportation/Travel/Connectivity,TRUE,FALSE,TRUE,TRUE,"{'Transportation': 4.2, 'Travel': 3.9, 'Connectivity': 4.0}",Koyambedu_Bus_Terminus_Chennai_Tamil_Nadu1744835868661.webp
Tamil Nadu,Chennai,Mofussil Bus Terminus,Bus Station,23,41,43,4.1,4000,November/December/January,Transportation/Travel/Connectivity,TRUE,FALSE,TRUE,TRUE,"{'Transportation': 4.3, 'Travel': 4.0, 'Connectivity': 4.1}",Mofussil_Bus_Terminus_Chennai_Tamil_Nadu1744835908058.webp
Tamil Nadu,Chennai,Tidel Park,IT Park,15,42,44,4.3,3000,November/December/January,Architecture/Technology/Business,TRUE,FALSE,TRUE,TRUE,"{'Architecture': 4.5, 'Technology': 4.2, 'Business': 4.3}",Tidel_Park_Chennai_Tamil_Nadu1744835947689.webp
Tamil Nadu,Chennai,Ramanujan IT City,IT Park,16,43,45,4.2,2000,November/December/January,Architecture/Technology/Business,TRUE,FALSE,TRUE,TRUE,"{'Architecture': 4.4, 'Technology': 4.1, 'Business': 4.2}",Ramanujan_IT_City_Chennai_Tamil_Nadu1744835965897.webp
Tamil Nadu,Chennai,Ascendas IT Park,IT Park,17,44,46,4.1,1000,November/December/January,Architecture/Technology/Business,TRUE,FALSE,TRUE,TRUE,"{'Architecture': 4.3, 'Technology': 4.0, 'Business': 4.1}",Ascendas_IT_Park_Chennai_Tamil_Nadu1744835975032.webp
Tamil Nadu,Chennai,SIPCOT IT Park,IT Park,25,45,47,4,2000,November/December/January,Architecture/Technology/Business,TRUE,FALSE,TRUE,TRUE,"{'Architecture': 4.2, 'Technology': 3.9, 'Business': 4.0}",SIPCOT_IT_Park_Chennai_Tamil_Nadu1744835984185.webp
Tamil Nadu,Chennai,Mahabalipuram,Historical Site,55,46,48,4.5,10000,December/January/February,History/Architecture/Beach,TRUE,TRUE,TRUE,TRUE,"{'History': 4.7, 'Architecture': 4.6, 'Beach': 4.5}",Mahabalipuram_Chennai_Tamil_Nadu1744835994123.webp
Tamil Nadu,Chennai,Covelong Beach,Beach,40,47,49,4.2,7000,December/January/February,Swimming/Sunbathing/Water Sports,TRUE,TRUE,TRUE,TRUE,"{'Swimming': 4.0, 'Sunbathing': 4.4, 'Water Sports': 4.2}",Covelong_Beach_Chennai_Tamil_Nadu1744836005895.webp
Tamil Nadu,Chennai,Muttukadu Boat House,Boating,35,48,50,4.1,6000,December/January/February,Boating/Water Sports/Nature,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.3, 'Water Sports': 4.1, 'Nature': 4.0}",Muttukadu_Boat_House_Chennai_Tamil_Nadu1744836014546.webp
Tamil Nadu,Chennai,Crocodile Bank Trust,Zoo,45,49,51,4.3,5000,October/November/December,Wildlife/Nature/Animals,TRUE,FALSE,TRUE,TRUE,"{'Wildlife': 4.5, 'Nature': 4.3, 'Animals': 4.4}",Crocodile_Bank_Trust_Chennai_Tamil_Nadu1744836022743.webp
Tamil Nadu,Chennai,Vedanthangal Bird Sanctuary,Bird Sanctuary,75,50,52,4.4,4000,November/December/January,Wildlife/Nature/Birds,TRUE,FALSE,TRUE,TRUE,"{'Wildlife': 4.6, 'Nature': 4.4, 'Birds': 4.5}",Vedanthangal_Bird_Sanctuary_Chennai_Tamil_Nadu1744836030385.webp
Tamil Nadu,Chennai,Pulicat Lake,Lake,60,51,53,4.2,3000,November/December/January,Nature/Boating/Bird Watching,TRUE,TRUE,TRUE,TRUE,"{'Nature': 4.4, 'Boating': 4.2, 'Bird Watching': 4.3}",Pulicat_Lake_Chennai_Tamil_Nadu1744836037788.webp
Tamil Nadu,Chennai,Alamparai Fort,Historical Site,100,52,54,4,2000,November/December/January,History/Architecture/Photography,TRUE,FALSE,TRUE,TRUE,"{'History': 4.2, 'Architecture': 3.9, 'Photography': 4.0}",Alamparai_Fort_Chennai_Tamil_Nadu1744836045833.webp
Tamil Nadu,Chennai,Sadras Dutch Fort,Historical Site,70,53,55,4.1,1000,November/December/January,History/Architecture/Photography,TRUE,FALSE,TRUE,TRUE,"{'History': 4.3, 'Architecture': 4.0, 'Photography': 4.1}",Sadras_Dutch_Fort_Chennai_Tamil_Nadu1744836054325.webp
Tamil Nadu,Chennai,Arignar Anna Zoological Park (Vandalur Zoo),Zoo,30,54,56,4,8000,October/November/December,Wildlife/Nature/Animals,TRUE,FALSE,TRUE,TRUE,"{'Wildlife': 4.1, 'Nature': 3.9, 'Animals': 4.0}",Arignar_Anna_Zoological_Park_(Vandalur_Zoo)_Chennai_Tamil_Nadu1744836062979.webp
Tamil Nadu,Chennai,Madras Crocodile Bank Trust and Centre,Zoo,45,55,57,4.3,5000,October/November/December,Wildlife/Nature/Animals,TRUE,FALSE,TRUE,TRUE,"{'Wildlife': 4.5, 'Nature': 4.3, 'Animals': 4.4}",Madras_Crocodile_Bank_Trust_and_Centre_Chennai_Tamil_Nadu1744836071248.webp
Tamil Nadu,Chennai,MGM Dizzee World,Amusement Park,25,56,58,4.1,9000,December/January/February,Rides/Entertainment/Games,TRUE,TRUE,TRUE,TRUE,"{'Rides': 4.2, 'Entertainment': 4.1, 'Games': 4.0}",MGM_Dizzee_World_Chennai_Tamil_Nadu1744864835676.webp
Tamil Nadu,Chennai,VGP Universal Kingdom,Amusement Park,22,57,59,4.2,10000,December/January/February,Rides/Entertainment/Games,TRUE,TRUE,TRUE,TRUE,"{'Rides': 4.3, 'Entertainment': 4.2, 'Games': 4.1}",VGP_Universal_Kingdom_Chennai_Tamil_Nadu1744836088395.webp
Tamil Nadu,Chennai,Kishkinta,Amusement Park,35,58,60,4,7000,December/January/February,Rides/Entertainment/Games,TRUE,TRUE,TRUE,TRUE,"{'Rides': 4.1, 'Entertainment': 4.0, 'Games': 3.9}",Kishkinta_Chennai_Tamil_Nadu1744836096788.webp
Tamil Nadu,Chennai,Queensland,Amusement Park,40,59,61,4.1,8000,December/January/February,Rides/Entertainment/Games,TRUE,TRUE,TRUE,TRUE,"{'Rides': 4.2, 'Entertainment': 4.1, 'Games': 4.0}",Queensland_Chennai_Tamil_Nadu1744836105427.webp
Tamil Nadu,Chennai,Snow Kingdom,Amusement Park,18,60,62,3.9,6000,December/January/February,Snow/Entertainment/Games,TRUE,TRUE,TRUE,TRUE,"{'Snow': 4.0, 'Entertainment': 3.9, 'Games': 3.8}",Snow_Kingdom_Chennai_Tamil_Nadu1744836114346.webp
Tamil Nadu,Chennai,Fun City,Amusement Park,20,61,63,3.8,5000,December/January/February,Rides/Entertainment/Games,TRUE,TRUE,TRUE,TRUE,"{'Rides': 3.9, 'Entertainment': 3.8, 'Games': 3.7}",Fun_City_Chennai_Tamil_Nadu1744836122984.webp
Tamil Nadu,Chennai,Monkey Kingdom,Amusement Park,22,62,64,3.7,4000,December/January/February,Rides/Entertainment/Games,TRUE,TRUE,TRUE,TRUE,"{'Rides': 3.8, 'Entertainment': 3.7, 'Games': 3.6}",Monkey_Kingdom_Chennai_Tamil_Nadu1744836130631.webp
Tamil Nadu,Chennai,Dash N Splash,Water Park,25,63,65,4,6000,December/January/February,Water Rides/Entertainment/Games,TRUE,TRUE,TRUE,TRUE,"{'Water Rides': 4.1, 'Entertainment': 4.0, 'Games': 3.9}",Dash_N_Splash_Chennai_Tamil_Nadu1744836138618.webp
Tamil Nadu,Chennai,AQUA Kingdom,Water Park,28,64,66,4.1,7000,December/January/February,Water Rides/Entertainment/Games,TRUE,TRUE,TRUE,TRUE,"{'Water Rides': 4.2, 'Entertainment': 4.1, 'Games': 4.0}",AQUA_Kingdom_Chennai_Tamil_Nadu1744836147351.webp
Tamil Nadu,Chennai,VGP Snow Kingdom,Snow Park,22,65,67,3.9,5000,December/January/February,Snow/Entertainment/Games,TRUE,TRUE,TRUE,TRUE,"{'Snow': 4.0, 'Entertainment': 3.9, 'Games': 3.8}",VGP_Snow_Kingdom_Chennai_Tamil_Nadu1744864845125.webp
Tamil Nadu,Chennai,Mahabalipuram Shore Temple,Temple,55,66,68,4.6,12000,December/January/February,Religious/Architecture/Photography,TRUE,TRUE,TRUE,TRUE,"{'Religious': 4.8, 'Architecture': 4.7, 'Photography': 4.6}",Mahabalipuram_Shore_Temple_Chennai_Tamil_Nadu1744836162638.webp
Tamil Nadu,Chennai,Pancha Rathas,Monument,56,67,69,4.4,9000,December/January/February,Architecture/History/Sculpture,TRUE,TRUE,TRUE,TRUE,"{'Architecture': 4.6, 'History': 4.5, 'Sculpture': 4.4}",Pancha_Rathas_Chennai_Tamil_Nadu1744836170861.webp
Tamil Nadu,Chennai,Arjuna's Penance,Sculpture,57,68,70,4.5,10000,December/January/February,Sculpture/History/Art,TRUE,TRUE,TRUE,TRUE,"{'Sculpture': 4.7, 'History': 4.6, 'Art': 4.5}",Arjuna's_Penance_Chennai_Tamil_Nadu1744836179698.webp
Tamil Nadu,Chennai,Tiger Cave,Cave,58,69,71,4.2,7000,December/January/February,Nature/History/Adventure,TRUE,TRUE,TRUE,TRUE,"{'Nature': 4.4, 'History': 4.3, 'Adventure': 4.2}",Tiger_Cave_Chennai_Tamil_Nadu1744864854059.webp
Tamil Nadu,Chennai,Krishna's Butter Ball,Rock Formation,59,70,72,4.3,8000,December/January/February,Nature/Photography/Unique,TRUE,TRUE,TRUE,TRUE,"{'Nature': 4.5, 'Photography': 4.4, 'Unique': 4.3}",Krishna's_Butter_Ball_Chennai_Tamil_Nadu1744836196428.webp
Tamil Nadu,Chennai,India Seashell Museum,Museum,40,71,73,4.1,6000,December/January/February,Science/Nature/Education,TRUE,FALSE,TRUE,TRUE,"{'Science': 4.3, 'Nature': 4.0, 'Education': 4.1}",India_Seashell_Museum_Chennai_Tamil_Nadu1744836204454.webp
Tamil Nadu,Chennai,MGM Eastwoods,Resort,25,72,74,4.4,5000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.6, 'Entertainment': 4.5, 'Food': 4.4}",MGM_Eastwoods_Chennai_Tamil_Nadu1744836212146.webp
Tamil Nadu,Chennai,Ideal Beach Resort,Resort,30,73,75,4.3,4000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.5, 'Entertainment': 4.4, 'Food': 4.3}",Ideal_Beach_Resort_Chennai_Tamil_Nadu1744836221155.webp
Tamil Nadu,Chennai,Chariot Beach Resort,Resort,35,74,76,4.2,3000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.4, 'Entertainment': 4.3, 'Food': 4.2}",Chariot_Beach_Resort_Chennai_Tamil_Nadu1744836230416.webp
Tamil Nadu,Chennai,Radisson Blu Temple Bay Mamallapuram,Resort,40,75,77,4.5,6000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.7, 'Entertainment': 4.6, 'Food': 4.5}",Radisson_Blu_Temple_Bay_Mamallapuram_Chennai_Tamil_Nadu1744836238903.webp
Tamil Nadu,Chennai,InterContinental Chennai Mahabalipuram Resort,Resort,50,77,79,4.7,8000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.9, 'Entertainment': 4.8, 'Food': 4.7}",InterContinental_Chennai_Mahabalipuram_Resort_Chennai_Tamil_Nadu1744836254690.webp
Tamil Nadu,Chennai,Sheraton Grand Chennai Resort & Spa,Resort,55,78,80,4.5,5000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.7, 'Entertainment': 4.6, 'Food': 4.5}",Sheraton_Grand_Chennai_Resort_&_Spa_Chennai_Tamil_Nadu1744836262424.webp
Tamil Nadu,Chennai,Four Points by Sheraton Mahabalipuram Resort & Convention Center,Resort,60,79,81,4.4,4000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.6, 'Entertainment': 4.5, 'Food': 4.4}",Four_Points_by_Sheraton_Mahabalipuram_Resort_&_Convention_Center_Chennai_Tamil_Nadu1744836270541.webp
Tamil Nadu,Chennai,Mamalla Heritage,Hotel,56,80,82,4.3,3000,December/January/February,Stay/Relaxation/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.5, 'Relaxation': 4.4, 'Food': 4.3}",Mamalla_Heritage_Chennai_Tamil_Nadu1744836279925.webp
Tamil Nadu,Chennai,Hotel Sea Breeze,Hotel,57,81,83,4.2,2000,December/January/February,Stay/Relaxation/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.4, 'Relaxation': 4.3, 'Food': 4.2}",Hotel_Sea_Breeze_Chennai_Tamil_Nadu1744836287883.webp
Tamil Nadu,Chennai,Hotel Mahabs,Hotel,58,82,84,4.1,1000,December/January/February,Stay/Relaxation/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.3, 'Relaxation': 4.2, 'Food': 4.1}",Hotel_Mahabs_Chennai_Tamil_Nadu1744836295824.webp
Tamil Nadu,Chennai,TTDC Hotel Tamil Nadu - Mamallapuram,Hotel,59,83,85,4,2000,December/January/February,Stay/Relaxation/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.2, 'Relaxation': 4.1, 'Food': 4.0}",TTDC_Hotel_Tamil_Nadu_-_Mamallapuram_Chennai_Tamil_Nadu1744836304978.webp
Tamil Nadu,Chennai,The Leela Palace Chennai,Hotel,15,84,86,4.7,8000,November/December/January,Stay/Luxury/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.9, 'Luxury': 4.8, 'Food': 4.7}",The_Leela_Palace_Chennai_Chennai_Tamil_Nadu1744836313571.webp
Tamil Nadu,Chennai,ITC Grand Chola,Hotel,16,85,87,4.8,9000,November/December/January,Stay/Luxury/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 5.0, 'Luxury': 4.9, 'Food': 4.8}",ITC_Grand_Chola_Chennai_Tamil_Nadu1744836322642.webp
Tamil Nadu,Chennai,Park Hyatt Chennai,Hotel,17,86,88,4.6,7000,November/December/January,Stay/Luxury/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.8, 'Luxury': 4.7, 'Food': 4.6}",Park_Hyatt_Chennai_Chennai_Tamil_Nadu1744836330834.webp
Tamil Nadu,Chennai,The Residency,Hotel,19,88,90,4.4,5000,November/December/January,Stay/Comfort/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.6, 'Comfort': 4.5, 'Food': 4.4}",The_Residency_Chennai_Tamil_Nadu1744836346830.webp
Tamil Nadu,Chennai,Taj Club House,Hotel,20,89,91,4.3,4000,November/December/January,Stay/Comfort/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.5, 'Comfort': 4.4, 'Food': 4.3}",Taj_Club_House_Chennai_Tamil_Nadu1744836354498.webp
Tamil Nadu,Chennai,Radisson Blu Hotel Chennai City Centre,Hotel,21,90,92,4.2,3000,November/December/January,Stay/Comfort/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.4, 'Comfort': 4.3, 'Food': 4.2}",Radisson_Blu_Hotel_Chennai_City_Centre_Chennai_Tamil_Nadu1744836362903.webp
Tamil Nadu,Chennai,Hilton Chennai,Hotel,22,91,93,4.1,2000,November/December/January,Stay/Comfort/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.3, 'Comfort': 4.2, 'Food': 4.1}",Hilton_Chennai_Chennai_Tamil_Nadu1744836371913.webp
Tamil Nadu,Chennai,Hyatt Regency Chennai,Hotel,23,92,94,4,1000,November/December/January,Stay/Comfort/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.2, 'Comfort': 4.1, 'Food': 4.0}",Hyatt_Regency_Chennai_Chennai_Tamil_Nadu1744836379929.webp
Tamil Nadu,Chennai,Accord Metropolitan,Hotel,24,93,95,4.3,2000,November/December/January,Stay/Comfort/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.5, 'Comfort': 4.4, 'Food': 4.3}",Accord_Metropolitan_Chennai_Tamil_Nadu1744836388462.webp
Tamil Nadu,Chennai,Ambassador Pallava,Hotel,25,94,96,4.2,3000,November/December/January,Stay/Comfort/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.4, 'Comfort': 4.3, 'Food': 4.2}",Ambassador_Pallava_Chennai_Tamil_Nadu1744836398128.webp
Tamil Nadu,Chennai,The Pride Hotel Chennai,Hotel,26,95,97,4.1,4000,November/December/January,Stay/Comfort/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.3, 'Comfort': 4.2, 'Food': 4.1}",The_Pride_Hotel_Chennai_Chennai_Tamil_Nadu1744836407657.webp
Tamil Nadu,Chennai,Grand Chennai by GRT Hotels,Hotel,27,96,98,4,5000,November/December/January,Stay/Comfort/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.2, 'Comfort': 4.1, 'Food': 4.0}",Grand_Chennai_by_GRT_Hotels_Chennai_Tamil_Nadu1744836415788.webp
Tamil Nadu,Chennai,The Checkers Hotel,Hotel,28,97,99,4.3,6000,November/December/January,Stay/Comfort/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.5, 'Comfort': 4.4, 'Food': 4.3}",The_Checkers_Hotel_Chennai_Tamil_Nadu1744836424316.webp
Tamil Nadu,Chennai,Savera Hotel,Hotel,29,98,100,4.2,7000,November/December/January,Stay/Comfort/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.4, 'Comfort': 4.3, 'Food': 4.2}",Savera_Hotel_Chennai_Tamil_Nadu1744836433255.webp
Tamil Nadu,Chennai,E Hotel,Hotel,30,99,101,4.1,8000,November/December/January,Stay/Comfort/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.3, 'Comfort': 4.2, 'Food': 4.1}",E_Hotel_Chennai_Tamil_Nadu1744836441695.webp
Tamil Nadu,Chennai,The Park Chennai,Hotel,15,100,102,4.4,9000,November/December/January,Stay/Luxury/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.6, 'Luxury': 4.5, 'Food': 4.4}",The_Park_Chennai_Chennai_Tamil_Nadu1744836451080.webp
Tamil Nadu,Chennai,Somerset Greenways Chennai,Apartment Hotel,16,101,103,4.3,8000,November/December/January,Stay/Comfort/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.5, 'Comfort': 4.4, 'Food': 4.3}",Somerset_Greenways_Chennai_Chennai_Tamil_Nadu1744836462409.webp
Tamil Nadu,Chennai,Citadines OMR Chennai,Apartment Hotel,17,102,104,4.2,7000,November/December/January,Stay/Comfort/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.4, 'Comfort': 4.3, 'Food': 4.2}",Citadines_OMR_Chennai_Chennai_Tamil_Nadu1744836470705.webp
Tamil Nadu,Chennai,Service Apartments Chennai,Apartment Hotel,18,103,105,4.1,6000,November/December/January,Stay/Comfort/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.3, 'Comfort': 4.2, 'Food': 4.1}",Service_Apartments_Chennai_Chennai_Tamil_Nadu1744836478985.webp
Tamil Nadu,Chennai,Green Coconut Resort,Resort,40,104,106,4,5000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.2, 'Entertainment': 4.1, 'Food': 4.0}",Green_Coconut_Resort_Chennai_Tamil_Nadu1744836486967.webp
Tamil Nadu,Chennai,MGM Beach Resorts East Coast Road,Resort,45,105,107,4.3,6000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.5, 'Entertainment': 4.4, 'Food': 4.3}",MGM_Beach_Resorts_East_Coast_Road_Chennai_Tamil_Nadu1744864862377.webp
Tamil Nadu,Chennai,V Resorts Mahabalipuram,Resort,50,106,108,4.2,7000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.4, 'Entertainment': 4.3, 'Food': 4.2}",V_Resorts_Mahabalipuram_Chennai_Tamil_Nadu1744836503564.webp
Tamil Nadu,Chennai,Sea La Vie Resorts,Resort,55,107,109,4.1,8000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.3, 'Entertainment': 4.2, 'Food': 4.1}",Sea_La_Vie_Resorts_Chennai_Tamil_Nadu1744836513003.webp
Tamil Nadu,Chennai,Ideal Beach Resort,Resort,30,108,110,4.3,4000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.5, 'Entertainment': 4.4, 'Food': 4.3}",Ideal_Beach_Resort_Chennai_Tamil_Nadu1744836521844.webp
Tamil Nadu,Chennai,Chariot Beach Resort,Resort,35,109,111,4.2,3000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.4, 'Entertainment': 4.3, 'Food': 4.2}",Chariot_Beach_Resort_Chennai_Tamil_Nadu1744836530257.webp
Tamil Nadu,Chennai,Radisson Blu Temple Bay Mamallapuram,Resort,40,110,112,4.5,6000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.7, 'Entertainment': 4.6, 'Food': 4.5}",Radisson_Blu_Temple_Bay_Mamallapuram_Chennai_Tamil_Nadu1744836539201.webp
Tamil Nadu,Chennai,Taj Fisherman's Cove Resort & Spa,Resort,45,111,113,4.6,7000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.8, 'Entertainment': 4.7, 'Food': 4.6}",Taj_Fisherman's_Cove_Resort_&_Spa_Chennai_Tamil_Nadu1744836548026.webp
Tamil Nadu,Chennai,InterContinental Chennai Mahabalipuram Resort,Resort,50,112,114,4.7,8000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.9, 'Entertainment': 4.8, 'Food': 4.7}",InterContinental_Chennai_Mahabalipuram_Resort_Chennai_Tamil_Nadu1744836556027.webp
Tamil Nadu,Chennai,Sheraton Grand Chennai Resort & Spa,Resort,55,113,115,4.5,5000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.7, 'Entertainment': 4.6, 'Food': 4.5}",Sheraton_Grand_Chennai_Resort_&_Spa_Chennai_Tamil_Nadu1744836564052.webp
Tamil Nadu,Chennai,Four Points by Sheraton Mahabalipuram Resort & Convention Center,Resort,60,114,116,4.4,4000,December/January/February,Relaxation/Entertainment/Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.6, 'Entertainment': 4.5, 'Food': 4.4}",Four_Points_by_Sheraton_Mahabalipuram_Resort_&_Convention_Center_Chennai_Tamil_Nadu1744836571508.webp
Tamil Nadu,Chennai,Mamalla Heritage,Hotel,56,115,117,4.3,3000,December/January/February,Stay/Relaxation/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.5, 'Relaxation': 4.4, 'Food': 4.3}",Mamalla_Heritage_Chennai_Tamil_Nadu1744836580248.webp
Tamil Nadu,Chennai,Hotel Sea Breeze,Hotel,57,116,118,4.2,2000,December/January/February,Stay/Relaxation/Food,TRUE,TRUE,TRUE,TRUE,"{'Stay': 4.4, 'Relaxation': 4.3, 'Food': 4.2}",Hotel_Sea_Breeze_Chennai_Tamil_Nadu1744836588707.webp
Telangana,Hyderabad,Charminar,Historical Site,25,5,6,4.5,15000,October/November/December,Shopping/Photography/Exploring,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.6, 'Photography': 4.7, 'Exploring': 4.4}",Charminar_Hyderabad_Telangana1744836597382.webp
Telangana,Hyderabad,Golkonda Fort,Historical Site,30,8,10,4.3,12000,October/November/December,History/Photography/Sound and Light Show,TRUE,TRUE,TRUE,TRUE,"{'History': 4.4, 'Photography': 4.5, 'Sound and Light Show': 4.2}",Golkonda_Fort_Hyderabad_Telangana1744836606028.webp
Telangana,Hyderabad,Hussain Sagar Lake,Lake,20,3,4,4,10000,October/November/December,Boating/Lumbini Park/Buddha Statue,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.1, 'Lumbini Park': 4.2, 'Buddha Statue': 4.0}",Hussain_Sagar_Lake_Hyderabad_Telangana1744836615231.webp
Telangana,Hyderabad,Birla Mandir,Temple,28,6,8,4.6,8000,October/November/December,Prayer/Architecture/Panoramic View,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.7, 'Architecture': 4.8, 'Panoramic View': 4.5}",Birla_Mandir_Hyderabad_Telangana1744836622988.webp
Telangana,Hyderabad,Salar Jung Museum,Museum,22,4,5,4.4,7000,October/November/December,Art/History/Manuscripts,TRUE,TRUE,TRUE,TRUE,"{'Art': 4.5, 'History': 4.6, 'Manuscripts': 4.3}",Salar_Jung_Museum_Hyderabad_Telangana1744836631214.webp
Telangana,Hyderabad,Nehru Zoological Park,Zoo,27,7,9,4.2,9000,October/November/December,Wildlife/Safari/Photography,TRUE,TRUE,TRUE,TRUE,"{'Wildlife': 4.3, 'Safari': 4.4, 'Photography': 4.1}",Nehru_Zoological_Park_Hyderabad_Telangana1744836638949.webp
Telangana,Hyderabad,Qutb Shahi Tombs,Historical Site,32,9,11,4.1,6000,October/November/December,History/Architecture/Photography,TRUE,TRUE,TRUE,TRUE,"{'History': 4.2, 'Architecture': 4.3, 'Photography': 4.0}",Qutb_Shahi_Tombs_Hyderabad_Telangana1744836647251.webp
Telangana,Hyderabad,Chowmahalla Palace,Palace,24,5,7,4.5,5000,October/November/December,History/Architecture/Royal Life,TRUE,TRUE,TRUE,TRUE,"{'History': 4.6, 'Architecture': 4.7, 'Royal Life': 4.4}",Chowmahalla_Palace_Hyderabad_Telangana1744836655677.webp
Telangana,Hyderabad,Mecca Masjid,Mosque,26,6,8,4.3,4000,October/November/December,Prayer/Architecture/History,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.4, 'Architecture': 4.5, 'History': 4.2}",Mecca_Masjid_Hyderabad_Telangana1744836663851.webp
Telangana,Hyderabad,Lumbini Park,Park,21,4,5,4,3000,October/November/December,Boating/Laser Show/Gardens,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.1, 'Laser Show': 4.2, 'Gardens': 4.0}",Lumbini_Park_Hyderabad_Telangana1744836673173.webp
Telangana,Warangal,Warangal Fort,Historical Site,150,5,7,4.2,6000,October/November/December,History/Architecture/Photography,TRUE,TRUE,TRUE,TRUE,"{'History': 4.3, 'Architecture': 4.4, 'Photography': 4.1}",Warangal_Fort_Warangal_Telangana1744836682095.webp
Telangana,Warangal,Thousand Pillar Temple,Temple,145,4,6,4.5,5000,October/November/December,Prayer/Architecture/Sculptures,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.6, 'Architecture': 4.7, 'Sculptures': 4.4}",Thousand_Pillar_Temple_Warangal_Telangana1744836690605.webp
Telangana,Warangal,Bhadrakali Temple,Temple,155,6,8,4.3,4000,October/November/December,Prayer/Lake View/Peaceful,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.4, 'Lake View': 4.5, 'Peaceful': 4.2}",Bhadrakali_Temple_Warangal_Telangana1744836698949.webp
